Service,Current_Years,Future_Years,Total_Years,Visual_Pattern,Milestone_Type,Milestone,Status,Accessibility_Note,Brand_Colors
Digital Content Development,2,2,4,Western Purple #4F2683 with diagonal lines (2yr) + Tiger Orange #F0A757 with dots (2yr),SUMMARY,Total: 4 milestones,Overview,Service overview with Western University brand colors and pattern descriptions,"Primary: #4F2683, Secondary: #F0A757, Text: #201436"
Digital Content Development,2,2,4,Western Purple #4F2683 with diagonal lines (///),COMPLETED,Content Strategy Framework,Completed,Represented by checkmark (✓) in Western Purple section with Deep Focus #201436 text box,"Bar: #4F2683, Text background: #201436"
Digital Content Development,2,2,4,Western Purple #4F2683 with diagonal lines (///),COMPLETED,Video Production Pipeline,Completed,Represented by checkmark (✓) in Western Purple section with Deep Focus #201436 text box,"Bar: #4F2683, Text background: #201436"
Digital Content Development,2,2,4,Tiger Orange #F0A757 with dots (...),UPCOMING,AI Content Tools,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Digital Content Development,2,2,4,Tiger Orange #F0A757 with dots (...),UPCOMING,Interactive Media Platform,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Digital Learning Environment Admin,3,2,5,Western Purple #4F2683 with diagonal lines (3yr) + Tiger Orange #F0A757 with dots (2yr),SUMMARY,Total: 5 milestones,Overview,Service overview with Western University brand colors and pattern descriptions,"Primary: #4F2683, Secondary: #F0A757, Text: #201436"
Digital Learning Environment Admin,3,2,5,Western Purple #4F2683 with diagonal lines (///),COMPLETED,Platform Migration,Completed,Represented by checkmark (✓) in Western Purple section with Deep Focus #201436 text box,"Bar: #4F2683, Text background: #201436"
Digital Learning Environment Admin,3,2,5,Western Purple #4F2683 with diagonal lines (///),COMPLETED,User Management System,Completed,Represented by checkmark (✓) in Western Purple section with Deep Focus #201436 text box,"Bar: #4F2683, Text background: #201436"
Digital Learning Environment Admin,3,2,5,Western Purple #4F2683 with diagonal lines (///),COMPLETED,Analytics Dashboard,Completed,Represented by checkmark (✓) in Western Purple section with Deep Focus #201436 text box,"Bar: #4F2683, Text background: #201436"
Digital Learning Environment Admin,3,2,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Mobile App Integration,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Digital Learning Environment Admin,3,2,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Advanced Reporting Suite,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Accessibility,1,4,5,Western Purple #4F2683 with diagonal lines (1yr) + Tiger Orange #F0A757 with dots (4yr),SUMMARY,Total: 5 milestones,Overview,Service overview with Western University brand colors and pattern descriptions,"Primary: #4F2683, Secondary: #F0A757, Text: #201436"
Accessibility,1,4,5,Western Purple #4F2683 with diagonal lines (///),COMPLETED,WCAG 2.1 AA Compliance,Completed,Represented by checkmark (✓) in Western Purple section with Deep Focus #201436 text box,"Bar: #4F2683, Text background: #201436"
Accessibility,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Screen Reader Optimization,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Accessibility,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Voice Navigation,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Accessibility,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Cognitive Load Assessment,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Accessibility,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Universal Design Standards,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Thought Leadership,1,4,5,Western Purple #4F2683 with diagonal lines (1yr) + Tiger Orange #F0A757 with dots (4yr),SUMMARY,Total: 5 milestones,Overview,Service overview with Western University brand colors and pattern descriptions,"Primary: #4F2683, Secondary: #F0A757, Text: #201436"
Thought Leadership,1,4,5,Western Purple #4F2683 with diagonal lines (///),COMPLETED,WCAG 2.1 AA Compliance,Completed,Represented by checkmark (✓) in Western Purple section with Deep Focus #201436 text box,"Bar: #4F2683, Text background: #201436"
Thought Leadership,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Screen Reader Optimization,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Thought Leadership,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Voice Navigation,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Thought Leadership,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Cognitive Load Assessment,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Thought Leadership,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Universal Design Standards,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Literacy,1,4,5,Western Purple #4F2683 with diagonal lines (1yr) + Tiger Orange #F0A757 with dots (4yr),SUMMARY,Total: 5 milestones,Overview,Service overview with Western University brand colors and pattern descriptions,"Primary: #4F2683, Secondary: #F0A757, Text: #201436"
Literacy,1,4,5,Western Purple #4F2683 with diagonal lines (///),COMPLETED,WCAG 2.1 AA Compliance,Completed,Represented by checkmark (✓) in Western Purple section with Deep Focus #201436 text box,"Bar: #4F2683, Text background: #201436"
Literacy,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Screen Reader Optimization,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Literacy,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Voice Navigation,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Literacy,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Cognitive Load Assessment,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Literacy,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Universal Design Standards,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Consultancy,1,4,5,Western Purple #4F2683 with diagonal lines (1yr) + Tiger Orange #F0A757 with dots (4yr),SUMMARY,Total: 5 milestones,Overview,Service overview with Western University brand colors and pattern descriptions,"Primary: #4F2683, Secondary: #F0A757, Text: #201436"
Consultancy,1,4,5,Western Purple #4F2683 with diagonal lines (///),COMPLETED,WCAG 2.1 AA Compliance,Completed,Represented by checkmark (✓) in Western Purple section with Deep Focus #201436 text box,"Bar: #4F2683, Text background: #201436"
Consultancy,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Screen Reader Optimization,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Consultancy,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Voice Navigation,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Consultancy,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Cognitive Load Assessment,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Consultancy,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Universal Design Standards,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Studios and Production Facilities,1,4,5,Western Purple #4F2683 with diagonal lines (1yr) + Tiger Orange #F0A757 with dots (4yr),SUMMARY,Total: 5 milestones,Overview,Service overview with Western University brand colors and pattern descriptions,"Primary: #4F2683, Secondary: #F0A757, Text: #201436"
Studios and Production Facilities,1,4,5,Western Purple #4F2683 with diagonal lines (///),COMPLETED,WCAG 2.1 AA Compliance,Completed,Represented by checkmark (✓) in Western Purple section with Deep Focus #201436 text box,"Bar: #4F2683, Text background: #201436"
Studios and Production Facilities,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Screen Reader Optimization,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Studios and Production Facilities,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Voice Navigation,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Studios and Production Facilities,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Cognitive Load Assessment,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Studios and Production Facilities,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Universal Design Standards,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
AIRC,1,4,5,Western Purple #4F2683 with diagonal lines (1yr) + Tiger Orange #F0A757 with dots (4yr),SUMMARY,Total: 5 milestones,Overview,Service overview with Western University brand colors and pattern descriptions,"Primary: #4F2683, Secondary: #F0A757, Text: #201436"
AIRC,1,4,5,Western Purple #4F2683 with diagonal lines (///),COMPLETED,WCAG 2.1 AA Compliance,Completed,Represented by checkmark (✓) in Western Purple section with Deep Focus #201436 text box,"Bar: #4F2683, Text background: #201436"
AIRC,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Screen Reader Optimization,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
AIRC,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Voice Navigation,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
AIRC,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Cognitive Load Assessment,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
AIRC,1,4,5,Tiger Orange #F0A757 with dots (...),UPCOMING,Universal Design Standards,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Data Resource Centre,0,4,4,Western Purple #4F2683 with diagonal lines (0yr) + Tiger Orange #F0A757 with dots (4yr),SUMMARY,Total: 4 milestones,Overview,Service overview with Western University brand colors and pattern descriptions,"Primary: #4F2683, Secondary: #F0A757, Text: #201436"
Data Resource Centre,0,4,4,Tiger Orange #F0A757 with dots (...),UPCOMING,Data Architecture Design,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Data Resource Centre,0,4,4,Tiger Orange #F0A757 with dots (...),UPCOMING,ETL Pipeline Setup,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Data Resource Centre,0,4,4,Tiger Orange #F0A757 with dots (...),UPCOMING,Analytics Platform,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
Data Resource Centre,0,4,4,Tiger Orange #F0A757 with dots (...),UPCOMING,Predictive Modeling System,Upcoming,Represented by arrow (→) in Tiger Orange section with Deep Focus #201436 text box,"Bar: #F0A757, Text background: #201436"
